variant_id,title_long,product_type,handle,color,store_name
12226,Bavincis Viperx Blue Blue Gradient Edition Sunglasses,sunglasses,bavincis-viperx-blue-blue-gradient-edition-sunglasses,blue - blue,Store_E
12227,Bavincis Walker Gold And Blue Gradient Edition Sunglasses,sunglasses,bavincis-walker-gold-and-blue-gradient-edition-sunglasses,gold - blue,Store_E
12228,Bavincis Walker Gold And Brown Gradient Edition Sunglasses,sunglasses,bavincis-walker-gold-and-brown-gradient-edition-sunglasses,gold - brown,Store_E
12229,Bavincis Walker Gold And Grey Gradient Edition Sunglasses,sunglasses,bavincis-walker-black-and-grey-gradient-edition-sunglasses,gold - grey,Store_E
12230,Bavincis Wink Silver And Black Edition Sunglasses,sunglasses,bavincis-wink-silver-and-candy-blue-edition-sunglasses,silver - black,Store_E
12231,Bavincis  Milano Black And Blue Edition Sunglasses,sunglasses,bavincis-milano-black-and-blue-edition-sunglasses,black - blue,Store_E
12232,Bavincis Albert Black And Black Sports Edition Sunglasses,sunglasses,bavincis-albert-black-and-black-edition-sunglasses,black - black,Store_E
12233,Bavincis Albert Black And Blue Sports Edition sunglasses,sunglasses,bavincis-albert-black-and-blue-sports-edition-sunglasses,black - blue,Store_E
12234,Bavincis Albert Black And Orange Sports Edition sunglasses,sunglasses,bavincis-albert-black-and-orange-sports-edition-sunglasses,black - orange,Store_E
12235,Bavincis Albert Black and Yellow Sports Edition Sunglasses,sunglasses,bavincis-albert-black-and-yellow-sports-edition-sunglasses,black - yellow,Store_E
12236,Bavincis Albert Brown And Brown Sports Edition Sunglasses,sunglasses,bavincis-albert-brown-and-brown-sports-edition-sunglasses,brown - brown,Store_E
12237,Bavincis Alito Brown And Brown Edition sunglasses,sunglasses,bavincis-alito-brown-and-brown-edition-sunglasses,brown - brown,Store_E
12238,Bavincis Asmara Black And Black Edition Sunglasses,sunglasses,bavincis-asmara-black-and-black-edition-sunglasses,black - black,Store_E
12239,Bavincis Asmara Black And Blue Edition Sunglasses,sunglasses,bavincis-asmara-black-and-blue-edition-sunglasses,black - blue,Store_E
12240,Bavincis Asmara Black And Blue Gradient Edition sunglasses,sunglasses,bavincis-asmara-black-and-blue-gradient-edition-sunglasses,black - blue,Store_E
12241,Bavincis Asmara Black And Green Edition Sunglasses,sunglasses,copy-of-bavincis-asmara-black-and-candy-green-k-edition-sunglasses,black - green,Store_E
12242,Bavincis Asmara Black And Yellow  Edition Sunglasses,sunglasses,bavincis-asmara-black-and-yellow-edition-sunglasses,black - yellow,Store_E
12243,Bavincis Asmara Gold And Black Edition Sunglasses,sunglasses,bavincis-asmara-gold-and-black-edition-sunglasses,gold - black,Store_E
12244,Bavincis Asmara Gold And Brown Gradient Edition Sunglasses,sunglasses,bavincis-asmara-gold-and-brown-gradient-edition-sunglasses-1,gold - brown,Store_E
12245,Bavincis Asmara Gold And Green Edition Sunglasses,sunglasses,bavincis-asmara-gold-and-green-edition-sunglasses,gold - green,Store_E
12246,Bavincis Austen Black And Black Edition Sunglasses,sunglasses,bavincis-austen-black-and-black-edition-sunglasses,black - black,Store_E
12247,Bavincis Austen Black And Blue Edition Sunglasses,sunglasses,bavincis-austen-black-and-blue-edition-sunglasses-1,black - blue,Store_E
12248,Bavincis Austen Black And Blue Gradient Edition Sunglasses,sunglasses,bavincis-austen-black-and-blue-gradient-edition-sunglasses,black - blue,Store_E
12249,Bavincis Austen Black And Green Edition Sunglasses,sunglasses,bavincis-austen-black-and-green-edition-sunglasses,black - green,Store_E
12250,Bavincis Austen Black And Grey Gradient Edition Sunglasses,sunglasses,bavincis-austen-black-and-grey-gradient-edition-sunglasses,black - grey,Store_E
12251,Bavincis Baxter Black And Black Edition Sunglasses,sunglasses,bavincis-baxter-black-and-black-edition-sunglasses,black - black,Store_E
12252,Bavincis Bayons Black And Black Edition Sunglasses,sunglasses,bavincis-bayons-black-and-black-edition-sunglasses,black - black,Store_E
12253,Bavincis BayStacks Black And Black Edition Sunglasses,sunglasses,bavincis-bay-stacks-black-black-edition-sunglasses,black - black,Store_E
12254,Bavincis Baystacks Gold And Blue Gradient Edition Sunglasses,sunglasses,bavincis-baystacks-gold-and-blue-yellow-gradiend-edition-sunglasses,gold - blue,Store_E
12255,Bavincis Bellagio Black And Black Edition Sunglasses,sunglasses,bavincis-bellogio-black-and-black-edition-sunglasses,black - black,Store_E
12256,Bavincis Brio Black and Black I Automatic Watch,automatic watch,bavincis-brio-black-and-black-i-automatic-watch,black - black,Store_E
12257,Bavincis Brio Black and Brown I Automatic Watch,automatic watch,bavincis-brio-black-and-brown-i-automatic-watch,black - brown,Store_E
12258,Bavincis Brio White and Brown I Automatic Watch,automatic watch,bavincis-brio-white-and-brown-i-automatic-watch,white - brown,Store_E
12259,Bavincis Buckers Black And Grey Gradient Edition Sunglasses,sunglasses,bavincis-buckers-black-and-black-edition-sunglasses,black - grey,Store_E
12260,Bavincis Caliber Gold And Black Edition sunglasses,sunglasses,bavincis-caliber-gold-and-black-edition-sunglasses,gold - black,Store_E
12261,Bavincis Caliber Gold And Blue Gradient Edition sunglasses,sunglasses,bavincis-caliber-gold-and-blue-gradient-edition-sunglasses,gold - blue,Store_E
12262,Bavincis Caliber Gold And Brown Gradient Edition sunglasses,sunglasses,bavincis-caliber-gold-and-brown-gradient-edition-sunglasses,gold - brown,Store_E
12263,Bavincis Caliber Gold And Green Edition sunglasses,sunglasses,bavincis-caliber-gold-and-green-edition-sunglasses,gold - green,Store_E
12264,Bavincis Caliber Gold And Grey Gradient Edition sunglasses,sunglasses,bavincis-caliber-gold-and-grey-gradient-edition-sunglasses,gold - grey,Store_E
12265,Bavincis Caliber Silver And Grey Gradient Edition sunglasses,sunglasses,bavincis-caliber-silver-and-grey-gradient-edition-sunglasses,silver - grey,Store_E
12266,Bavincis Caltatrava Gold and Black I Automatic Watch,automatic watch,bavincis-caltatrava-gold-and-black-i-automatic-watch,gold - black,Store_E
12267,Bavincis Caltatrava Gold and Blue I Automatic Watch,automatic watch,bavincis-caltatrava-gold-and-bluei-automatic-watch,gold - blue,Store_E
12268,Bavincis Calvert Black And Black Edition Sunglasses,sunglasses,bavincis-calvert-black-and-black-edition-sunglasses,black - black,Store_E
